,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
8845,9262,39306,1,East,GEORGE,G3,2779,18897,White,Male,2019-01-01 07:20:00,1.0,0.68,512.499,0.0019512233194601354
8936,9359,39407,1,North,LINCOLN,L2,1665,18916,White,Male,2019-01-03 13:01:00,1.0,0.68,512.499,0.0019512233194601354
8937,9360,39483,1,North,NORA,N3,2203,18924,White,Male,2019-01-05 18:05:00,1.0,0.68,512.499,0.0019512233194601354
8939,9362,39487,1,South,OCEAN,O3,1655,18927,Asian,Male,2019-01-06 01:55:00,1.0,0.151,113.805,0.008786960151135713
8940,9363,39487,1,South,OCEAN,O3,1655,18928,Asian,Male,2019-01-06 01:55:00,1.0,0.151,113.805,0.008786960151135713
8944,9367,39807,1,East,EDWARD,E1,2780,18999,White,Male,2019-01-13 16:01:00,1.0,0.68,512.499,0.0019512233194601354
8945,9368,39849,1,East,GEORGE,G1,1443,1213,White,Male,2019-01-11 12:59:00,1.0,0.68,512.499,0.0019512233194601354
8947,9370,39427,1,West,DAVID,D2,1168,18920,White,Male,2019-01-03 22:27:00,1.0,0.68,512.499,0.0019512233194601354
8948,9371,39792,1,North,UNION,U2,2188,18995,Black or African American,Female,2019-01-12 20:17:00,1.0,0.07,52.757,0.018954830638588244
8949,9372,39793,1,North,UNION,U2,1776,18995,Black or African American,Female,2019-01-12 20:17:00,1.0,0.07,52.757,0.018954830638588244
8950,9373,39655,1,East,EDWARD,E2,1143,18967,White,Female,2019-01-09 19:20:00,1.0,0.68,512.499,0.0019512233194601354
8951,9374,39761,1,South,SAM,S2,1110,18981,Hispanic or Latino,Male,2019-01-11 18:34:00,1.0,0.066,49.743,0.020103331121966907
8952,9375,39784,1,South,SAM,S2,1698,18981,Hispanic or Latino,Male,2019-01-11 18:33:00,1.0,0.066,49.743,0.020103331121966907
8953,9376,39556,1,West,QUEEN,Q2,2102,18943,White,Male,2019-01-07 02:56:00,1.0,0.68,512.499,0.0019512233194601354
